query	reference	matches	score
C01	2-Oxoadipic acid_2TMS isomer 1	1	0.00592021836390525
C01	Acetylglucosamine_5TMS isomer 2	1	0.0032935323086471353
C01	Acetylglutamine_4TMS	1	0.0034615476667423325
C01	Acetylphenylalanine_1TMS	1	0.0036759301797980154
C01	Acetylserotonin_2TMS isomer 2	1	0.00926553195383308
C01	Aspartic acid_2TMS	1	0.0027739701331569943
C01	Aspartic acid_4TMS	1	0.008499788379237625
C01	Cholestatrienol_1TMS	2	0.036886337621865516
C01	Dehydrocholesterol_1TMS	1	0.003932615334986307
C01	Dehydroergosterol_1TMS	1	0.007845129896186595
C01	Dopamine_3TMS	1	0.010697301512844443
C01	Glutamic acid_2TMS	1	0.00609597532135182
C01	Kynurenine_2TMS	1	0.031254026641759795
C01	Myristic acid_1TMS	1	0.004458885348921247
C01	Spermidine_4TMS	2	0.027237777345435872
C01	Spermine_6TMS	1	0.0024548978417699985
C01	Tryptamine_2TMS	1	0.011927639888611298
C01	beta-Sitosterol_1TMS	2	0.029279145523407223
C01	cis-Caffeic acid_3TMS	1	0.011108273797584962
C02	2-Methoxybenzoic acid_1TMS	8	0.2704507869565909
C02	2-Oxoadipic acid_2TMS isomer 1	2	0.0011768077410277767
C02	2-Oxoadipic acid_2TMS isomer 2	1	0.001244090962669572
C02	3-Indolepropionic acid	1	5.298666089905755e-05
C02	5-Methylcytidine_4TMS isomer 1	3	0.005010635911420795
C02	5-Methylcytidine_4TMS isomer 2	2	0.0031218246012133877
C02	6-Aminocaproic acid_2TMS	2	0.0023013765330968023
C02	6-Aminocaproic acid_3TMS	4	0.5399385613150369
C02	7-Dehydrocholesterol_1TMS	1	0.0001370721513695317
C02	Acetylgalactosamine_5TMS isomer 2	1	0.00014472590112098242
C02	Acetylglucosamine_5TMS isomer 1	1	0.0001846783715782004
C02	Acetylglucosamine_5TMS isomer 2	1	0.00013373922590300023
C02	Acetylglutamic acid_2TMS	3	0.0005945283979161737
C02	Acetylglutamic acid_3TMS	5	0.004152676181098724
C02	Acetylglutamine_2TMS	3	0.01477922410037743
C02	Acetylglutamine_3TMS	4	0.004119476245778928
C02	Acetylglutamine_4TMS	6	0.01622675295749104
C02	Acetylleucine_1TMS	2	0.00012806462179261688
C02	Acetylleucine_2TMS	1	0.00011963182016090845
C02	Acetyllysine_3TMS	5	0.5785616949470141
