query	reference	matches	score
C01	2-Deoxyglucose_4TMS	1	0.0023495448297173108
C01	2-Methoxybenzoic acid_1TMS	8	0.2429376531750623
C01	2-Oxoadipic acid_2TMS isomer 1	2	0.001057090327082028
C01	2-Oxoadipic acid_2TMS isomer 2	1	0.0011175287829935608
C01	3-Indolepropionic acid	1	4.759629355586231e-05
C01	3-Indolepropionic acid_1TMS	1	0.00022441669507511591
C01	5-Methylcytidine_4TMS isomer 1	3	0.004500900673772628
C01	5-Methylcytidine_4TMS isomer 2	2	0.002804239361909065
C01	6-Aminocaproic acid_2TMS	3	0.0031722079129017787
C01	6-Aminocaproic acid_3TMS	4	0.4850102616475226
C01	7-Dehydrocholesterol_1TMS	1	0.00012312771260198182
C01	Acetylgalactosamine_4TMS	3	0.00298718690126711
C01	Acetylgalactosamine_5TMS isomer 1	1	0.002896613477888369
C01	Acetylgalactosamine_5TMS isomer 2	2	0.002532335670734823
C01	Acetylglucosamine_5TMS isomer 1	2	0.0024445920221090657
C01	Acetylglucosamine_5TMS isomer 2	2	0.00238045306087582
C01	Acetylglutamic acid_2TMS	3	0.0006850511600965662
C01	Acetylglutamic acid_3TMS	5	0.0037426476478331244
C01	Acetylglutamine_2TMS	4	0.01744498569305488
C01	Acetylglutamine_3TMS	4	0.0037104726748657
C01	Acetylglutamine_4TMS	7	0.014645091438712026
C01	Acetylleucine_1TMS	2	0.00011503652484488393
C01	Acetylleucine_2TMS	1	0.00010746159758676175
C01	Acetyllysine_3TMS	5	0.5197042388712805
C01	Acetyllysine_4TMS	13	0.4880883383272828
C01	Acetylmethionine_1TMS	4	0.0005217980190983894
C01	Acetylmethionine_2TMS	2	0.01175266326389172
C01	Acetylproline_1TMS	1	0.0006830719098482076
C01	Acetylserine_2TMS	1	0.00022852157287978336
C01	Acetyltryptophan_2TMS isomer 1	1	3.359085681660489e-05
C01	Acetyltryptophan_2TMS isomer 2	1	6.176475867839357e-05
C01	Acetyltryptophan_3TMS	1	1.2328029381356353e-05
C01	Adenosine_4TMS	2	0.08199256317171179
C01	Adenosine_5TMS	1	0.01671791041436514
C01	Alanine_2TMS	1	0.01157059927010388
C01	Allantoin_3TMS	2	0.001712601507873338
C01	Allose_5TMS isomer 1	1	0.0028118459735478173
C01	Allose_5TMS isomer 2	3	0.003922380017199391
C01	Arabitol_5TMS	1	0.0012823239460241947
C01	Arabitol_5TMS	1	0.0013277657421866095
C01	Arabitol_5TMS	1	0.0012823239460241947
C01	Arabitol_5TMS	1	0.0013277657421866095
C01	Arginine_3TMS	3	0.006568732161831355
C01	Ascorbic acid_4TMS	2	0.0014504534290542342
C01	Asparagine_2TMS	3	0.024846184920368258
C01	Asparagine_3TMS	1	0.0049170565796560345
C01	Asparagine_4TMS isomer 1	3	0.0006552908751492933
C01	Aspartic acid_2TMS	1	8.132356957083145e-05
C01	Aspartic acid_3TMS isomer	1	0.021987083247101875
C01	Aspartic acid_3TMS isomer	1	0.0809270268021262
C01	Aspartic acid_3TMS isomer	3	0.021987083247101875
C01	Aspartic acid_3TMS isomer	3	0.0809270268021262
C01	Aspartic acid_4TMS	3	0.015920231604688792
C01	Azelaic acid_2TMS	2	0.0005524451891276394
C01	Caffeine	1	0.00016104343528893978
C01	Cholestenone	1	7.262920776057319e-05
C01	Cysteine_3TMS	2	0.0002252415619344235
C01	Cytidine_4TMS	3	0.004671374371018313
C01	Cytidine_5TMS	3	0.004151550490699614
C01	Cytosine_2TMS	1	0.00017274749344666708
C01	Cytosine_3TMS	1	0.0005217257513339545
C01	Dopamine_4TMS	4	0.4895362109338557
C01	Ergocalciferol_TMS	1	0.00010450067511617231
C01	Ergosterol_1TMS	1	0.00012031035485305688
C01	Estradiol_2TMS	1	0.00829619168144277
C01	Estrone_1TMS	2	0.0001428814371186161
C01	Estrone_1TMS	2	0.003139381884319593
C01	Estrone_1TMS	1	0.0001428814371186161
C01	Estrone_1TMS	1	0.003139381884319593
C01	Fructose_5TMS isomer 1	1	0.00023954306520202118
C01	Fructose_5TMS isomer 2	1	0.0002942249486771868
C01	Galactitol_6TMS	1	0.0014355406034446494
C01	Galactose_5TMS isomer 1	1	0.002788595030160657
C01	Galactose_5TMS isomer 2	2	0.003973344339788701
C01	Gluconic acid-1,4-lactone	4	0.005381295386029132
C01	Gluconic acid-1,5-lactone	3	0.003575718508017212
C01	Gluconic acid_6TMS	1	0.0010842774162252973
C01	Gluconolactone	3	0.009952870818490464
C01	Glucose-6-phosphate_6TMS isomer 1	1	0.002562031930190375
C01	Glucose-6-phosphate_6TMS isomer 2	1	0.002040564749557469
C01	Glucose_5TMS isomer 1	2	0.00345779705979116
C01	Glucose_5TMS isomer 2	2	0.003395138184481795
C01	Glucuro-3,6-lactone_3TMS isomer 1	4	0.0041082972481214725
C01	Glutamic acid_2TMS	5	0.4833810768033596
C01	Glutamic acid_3TMS spectra 1	3	0.026182235918833386
C01	Glutamic acid_3TMS spectra 2	3	0.025158875119109886
C01	Glycine_3TMS	4	0.4455455345718895
C01	Glycylleucine_3TMS	4	0.4822087495697938
C01	Glycylleucine_4TMS	5	0.4642753337754679
C01	Glycylvaline_4TMS	6	0.4106880688149181
C01	Guanosine_5TMS	2	0.021180380442309625
C01	Histidine_3TMS	9	0.4745324048127544
C01	Histidine_4TMS	7	0.03612784917213635
C01	Homocitrulline_4TMS	10	0.11473494765009808
C01	Homocysteine_3TMS	3	0.06438582240813015
C01	Homocysteine_4TMS	3	0.06065489502757941
C01	Homoserine_3TMS	2	0.04569052787110151
C01	Homoserine_4TMS	4	0.029028696539575526
C01	Hydroxyproline_3TMS	3	0.037747097891999315
C01	Hypotaurine_3TMS	2	0.06929905607460295
C01	Indole-2-carboxylic acid_1TMS	1	2.5327533298561605e-05
C01	Indole-3-acetamide_2TMS	2	0.00047871015040910984
C01	Indole-3-acetic acid_1TMS	1	0.000256734782040116
C01	Inosine_4TMS	2	0.06274257011401052
C01	Itaconic acid_2TMS	3	0.012730490688734558
C01	Kynurenine_2TMS	2	0.010511304224302891
C01	Kynurenine_4TMS	1	0.006718438565990326
C01	Lysine_3TMS	10	0.3535036979822343
C01	Lysine_4TMS	23	0.8289321234578685
C01	Maleamic acid_2TMS isomer 1	1	2.5118148833896077e-05
C01	Maleamic acid_2TMS isomer 2	1	2.7578079690608644e-05
C01	Maleamic acid_3TMS	3	0.0002820841717320982
C01	Maleic acid_2TMS	1	0.00022649947665427217
C01	Maltotriose_11TMS isomer 1	2	0.0017888662538582676
C01	Maltotriose_11TMS isomer 2	2	0.0019400485659115789
C01	Mannitol_6TMS	2	0.0036953137953142775
C01	Mannose_5TMS isomer 1	1	0.002728241963818003
C01	Mannose_5TMS isomer 2	2	0.002746382629542616
C01	Methionine sulfoxide_3TMS	2	0.06887156688702814
C01	Methionine_2TMS	2	0.07040309484288337
C01	Methyl palmitate	2	0.0050850331977502685
C01	Methyl stearate	3	0.008667835456998361
C01	Methylnicotinamide_1TMS	1	0.0009261414898920997
C01	Myo-inositol_6TMS	2	0.0010774703801859104
C01	Norleucine_2TMS	1	0.0011246979281152633
C01	Norvaline_2TMS	1	0.0010950357749948591
C01	Norvaline_3TMS	10	0.05422217865290313
C01	Pipecolinic acid_1TMS	2	0.0612402970230984
C01	Pipecolinic acid_2TMS	4	0.6785222516372996
C01	Pregnenolone_1TMS	3	0.0002474059859408867
C01	Progesterone	1	0.000217799378296083
C01	Pyroglutamic acid_2TMS	1	0.00020679689883902795
C01	Pyroglutamic acid_2TMS	1	0.00020362340808205437
C01	Pyroglutamic acid_2TMS	1	0.00020679689883902795
C01	Pyroglutamic acid_2TMS	1	0.00020362340808205437
C01	Ribitol_5TMS	1	0.0014632749104635686
C01	Salicylic acid_2TMS	1	0.017804216064992686
C01	Sebacid acid_2TMS	1	0.0003752057622073138
C01	Serine_4TMS	2	8.573954681634012e-05
C01	Serotonin_3TMS	4	0.4874637787596174
C01	Serotonin_4TMS	4	0.4889072289135711
C01	Sorbitol_6TMS	2	0.002549820897305046
C01	Spermidine_4TMS	6	0.17989513467384285
C01	Spermidine_5TMS	18	0.3918999290467257
C01	Spermine_6TMS	12	0.26900964093625845
C01	Spermine_derivative	11	0.395089880274732
C01	Stigmasterol_1TMS	1	0.0008520267233905635
C01	Suberic acid_2TMS	1	3.451025042763981e-05
C01	Sucrose_8TMS	2	0.0020516128852990935
C01	Taurine_3TMS	3	0.06773315512514742
C01	Tetradecanedioic acid_2TMS	1	0.0003414378363137433
C01	Theanine_2TMS	4	0.005175352859176217
C01	Theanine_3TMS	8	0.021674872865485664
C01	Threonic acid_4TMS	1	0.0012441662300639526
C01	Threonine_3TMS spectra 1	3	0.011219808566582036
C01	Threonine_3TMS spectra 2	3	0.009767262544355148
C01	Thymol_1TMS	1	0.016542993014857087
C01	Tryptamine_3TMS	6	0.4723295710194411
C01	Tryptamine_3TMS	6	0.4850423901399877
C01	Tryptamine_3TMS	4	0.4723295710194411
C01	Tryptamine_3TMS	4	0.4850423901399877
C01	Tryptamine_derivative	4	0.4418618065725691
C01	Tryptophol_1TMS	1	0.00023705307505214848
C01	Uracil_2TMS	1	0.008961233554855364
C01	Urea_2TMS	1	0.0049677852648978464
C01	Uric acid_4TMS	1	0.008947445935303175
C01	Uridine_4TMS isomer 1	3	0.006620874106700102
C01	Uridine_4TMS isomer 2	3	0.005553297097756186
C01	Valine_2TMS	2	0.009768220620753727
C01	Xylose_4TMS	1	0.0002549973212268714
C01	beta-Alanine_3TMS	4	0.22738909099605226
C01	gamma-Aminobutyric acid_3TMS	4	0.42654299140027374
C01	trans-Aconitic acid_3TMS	1	0.0017373416288921245
C02	2-Oxoadipic acid_2TMS isomer 1	1	0.009011162913281304
C02	Acetylglucosamine_5TMS isomer 2	1	0.003965567172398902
C02	Acetylglutamine_4TMS	1	0.004167865533575399
C02	Acetylphenylalanine_1TMS	1	0.004425992121214434
C02	Acetylserotonin_2TMS isomer 2	1	0.014103063904407662
C02	Aspartic acid_4TMS	1	0.010234143348327378
C02	Cholestatrienol_1TMS	2	0.050022721066784966
C02	Dehydrocholesterol_1TMS	1	0.004735053071484852
C02	Dehydroergosterol_1TMS	1	0.011941070282373534
C02	Dopamine_3TMS	1	0.012880052095196845
C02	Glutamic acid_2TMS	1	0.0092786825349138
C02	Kynurenine_2TMS	1	0.04757174625213522
C02	Myristic acid_1TMS	1	0.0053687068193466895
C02	Spermidine_4TMS	2	0.04009935182473888
C02	Spermine_6TMS	1	0.002955811991689505
C02	Tryptamine_2TMS	1	0.014361437130064696
C02	beta-Sitosterol_1TMS	2	0.040788739278966736
C02	cis-Caffeic acid_3TMS	1	0.016907900810831326
C03	1-Octadecanol_1TMS	1	0.010253215494267323
C03	7-Dehydrocholesterol_1TMS	3	0.007799473955272304
C03	Cholestanol_1TMS	20	0.04730635816644503
C03	Cholestatrienol_1TMS	6	0.011469440372787852
C03	Cholestenone	6	0.007721063655771122
C03	Dehydrocholesterol_1TMS	2	0.007704138414473262
C03	Dehydroergosterol_1TMS	3	0.00785642113562518
C03	Deoxycholic acid_3TMS	4	0.02401974433518325
C03	Ergocalciferol_TMS	4	0.007715861554367439
C03	Ergosterol_1TMS	4	0.01374361552187447
C03	Lithocholic acid_2TMS	11	0.04478051950676762
C03	Methyl stearate	1	0.0008881504572058712
C03	Myristic acid_1TMS	1	0.0004895271718287818
C03	Palmitoleic acid_1TMS	2	0.001086010937039068
C03	Pregnenolone_1TMS	4	0.013330755952374592
C03	Progesterone	1	0.002991694522005707
C03	Stigmasterol_1TMS	18	0.04700616522332436
C03	Tetradecanedioic acid_2TMS	2	0.01645765908462498
C03	beta-Sitosterol_1TMS	16	0.08547603568145826
C03	cis-Caffeic acid_3TMS	1	0.00042018881091489323
C04	1-Octadecanol_1TMS	3	0.0044078970201142705
C04	2-Deoxyglucose_4TMS	11	0.4662690114536798
C04	2-Methoxybenzoic acid_1TMS	1	6.618437341545877e-05
